Date,open,close,high,low
"2024-04-21T17:00:00Z","64557.4","64793.0","64859.0","64506.3"
"2024-04-21T16:00:00Z","65015.0","64557.4","65068.7","64214.2"
"2024-04-21T15:00:00Z","64865.4","65015.0","65112.0","64840.0"
"2024-04-21T14:00:00Z","64850.1","64865.4","65015.5","64752.2"
"2024-04-21T13:00:00Z","64976.4","64850.1","65226.9","64743.7"
"2024-04-21T12:00:00Z","65203.5","64976.4","65362.3","64901.0"
"2024-04-21T11:00:00Z","64925.2","65203.5","65425.0","64918.7"
"2024-04-21T10:00:00Z","64872.6","64925.2","64972.3","64751.4"
"2024-04-21T09:00:00Z","64895.0","64872.6","64963.0","64728.3"
"2024-04-21T08:00:00Z","65109.8","64895.0","65199.4","64884.2"
"2024-04-21T07:00:00Z","65020.7","65109.8","65139.1","64861.2"
"2024-04-21T06:00:00Z","64992.9","65020.7","65174.0","64901.2"
"2024-04-21T05:00:00Z","65029.6","64992.9","65216.3","64943.1"
"2024-04-21T04:00:00Z","65131.2","65029.6","65167.9","64803.1"
"2024-04-21T03:00:00Z","65274.3","65131.2","65678.7","65048.0"
"2024-04-21T02:00:00Z","64915.7","65274.3","65363.2","64890.6"
"2024-04-21T01:00:00Z","64732.1","64915.7","65087.8","64700.5"
"2024-04-21T00:00:00Z","64897.2","64732.1","64929.9","64570.5"
"2024-04-20T23:00:00Z","64581.1","64897.2","64963.6","64581.0"
"2024-04-20T22:00:00Z","64700.4","64581.1","64757.3","64513.1"
"2024-04-20T21:00:00Z","64690.7","64700.4","64800.0","64587.4"
"2024-04-20T20:00:00Z","64834.7","64690.7","65013.0","64573.2"
"2024-04-20T19:00:00Z","64932.6","64834.7","64973.7","64756.2"
"2024-04-20T18:00:00Z","65167.9","64932.6","65281.9","64793.8"
"2024-04-20T17:00:00Z","64708.9","65167.9","65400.0","64708.8"
"2024-04-20T16:00:00Z","64771.0","64708.9","64949.0","64421.8"
"2024-04-20T15:00:00Z","63906.0","64771.0","64940.0","63758.0"
"2024-04-20T14:00:00Z","63846.5","63906.0","63963.6","63703.2"
"2024-04-20T13:00:00Z","63790.8","63846.5","64034.1","63768.0"
"2024-04-20T12:00:00Z","63688.7","63790.8","63916.0","63537.3"
"2024-04-20T11:00:00Z","63538.7","63688.7","63900.0","63525.3"
"2024-04-20T10:00:00Z","63583.4","63538.7","63757.7","63333.7"
"2024-04-20T09:00:00Z","63706.8","63583.4","63759.3","63244.0"
"2024-04-20T08:00:00Z","63937.9","63706.8","63967.2","63620.0"
"2024-04-20T07:00:00Z","64017.3","63937.9","64134.2","63893.7"
"2024-04-20T06:00:00Z","64117.8","64017.3","64190.0","63901.7"
"2024-04-20T05:00:00Z","64102.0","64117.8","64217.3","63950.4"
"2024-04-20T04:00:00Z","63931.8","64102.0","64244.0","63779.9"
"2024-04-20T03:00:00Z","63803.7","63931.8","64000.0","63730.0"
"2024-04-20T02:00:00Z","63623.7","63803.7","64078.7","63501.9"
"2024-04-20T01:00:00Z","63407.4","63623.7","63767.0","63045.1"
"2024-04-20T00:00:00Z","63787.4","63407.4","64236.2","63384.7"
"2024-04-19T23:00:00Z","63980.4","63787.4","64111.7","62910.0"
"2024-04-19T22:00:00Z","64378.9","63980.4","64478.8","63970.6"
"2024-04-19T21:00:00Z","64026.0","64378.9","64432.5","64020.6"
